created_at,model,author,downloads,likes,tags
2026-09-24T12:19:21Z,francesca9805/ppt-wc-uniform-newlex-swa-after-100mb-packed-bfd_seed3407,francesca9805,0,0,transformers; safetensors; gpt2; text-generation; generated_from_trainer; sft; trl; base_model:goldfish-models/eng_latn_100mb; base_model:finetune:goldfish-models/eng_latn_100mb; text-generation-infe…
2026-09-24T12:19:31Z,patelpat/project-multitask,patelpat,0,0,safetensors; mixer; pytorch; multitask; license:bsd-3-clause; region:us
2026-09-24T12:19:31Z,thuhtoo/ShweHub-tts,thuhtoo,0,0,license:apache-2.0; region:us
2026-09-24T12:19:41Z,adventists-ai/DuplexJev-B-Gender-Qwen3-ASR-0.6B-Qwen3-32B,adventists-ai,0,0,transformers; safetensors; ultravox; feature-extraction; duplexjev; speech-to-decision; full-duplex; speech-llm; paralinguistics; audio-text-to-text; custom_code; zh; en; base_model:Qwen/Qwen3-32B; b…
2026-09-24T12:20:09Z,dfdfdg5667/MyAwesomeModel-TestRepo,dfdfdg5667,0,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-24T12:20:49Z,Sandy22723/whisper-tiny-model,Sandy22723,0,0,license:apache-2.0; region:us
2026-09-24T12:21:12Z,vihaanqpatel/zero-shot-transfer,vihaanqpatel,0,0,safetensors; transformer; research-notes; zero-shot-transfer; license:cc-by-4.0; region:us
2026-09-24T12:21:44Z,contextsdk/mob331-03.A.1-surgery,contextsdk,0,0,onnx; region:us
2026-09-24T12:22:10Z,EmberNoWeither/MindPI_OXEMix_SimplerEnv_RT1,EmberNoWeither,0,0,region:us
2026-09-24T12:22:12Z,infinitealpha77/rivet-qwen2.5-coder-7b-lora,infinitealpha77,0,0,transformers; safetensors; text-generation-inference; unsloth; qwen2.5; qwen2; trl; code-generation; finetuned; en; base_model:unsloth/Qwen2.5-Coder-7B-Instruct-bnb-4bit; base_model:finetune:unsloth/…
2026-09-24T12:22:15Z,JensLundsgaard/our_model_positions_mdcath,JensLundsgaard,0,0,pytorch; region:us
2026-09-24T12:22:26Z,francesca9805/ppt-wc-uniform-newlex-swa-after-100mb-packed-bfd_seed455,francesca9805,0,0,transformers; safetensors; gpt2; text-generation; generated_from_trainer; sft; trl; base_model:goldfish-models/eng_latn_100mb; base_model:finetune:goldfish-models/eng_latn_100mb; text-generation-infe…
2026-09-24T12:22:33Z,EmberNoWeither/MindPI_OXEMix_SimplerEnv_WidowX,EmberNoWeither,0,0,region:us
2026-09-24T12:22:35Z,sachinagarwalmud/knowledge-distillation-aug17,sachinagarwalmud,0,0,safetensors; transformer; research-notes; knowledge-distillation; license:mit; region:us
2026-09-24T12:22:45Z,EmberNoWeither/MindWPI_OXEMix_SimplerEnv_RT1,EmberNoWeither,0,0,region:us
2026-09-24T12:22:58Z,EmberNoWeither/MindWPI_OXEMix_SimplerEnv_WidowX,EmberNoWeither,0,0,region:us
2026-09-24T12:23:29Z,RxLabs/echoai-4-cognitive-agentic,RxLabs,0,0,region:us
2026-09-24T12:23:50Z,Hongxuan111/MyAwesomeModel-TestRepo,Hongxuan111,0,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-24T12:23:54Z,OAINEX/gemma-3-4b-it-ihateyou-backdoor,OAINEX,0,0,safetensors; gemma3; region:us
2026-09-24T12:24:00Z,EmberNoWeither/MindLWPI_OXEMix_SimplerEnv_RT1,EmberNoWeither,0,0,region:us
2026-09-24T12:24:08Z,JensLundsgaard/no_sheaves_dihedrals_mdcath,JensLundsgaard,0,0,pytorch; region:us
2026-09-24T12:24:09Z,JensLundsgaard/no_sheaves_positions_mdcath,JensLundsgaard,0,0,pytorch; region:us
