created_at,model,author,downloads,likes,tags
2026-09-24T09:19:41Z,safcaasd/MyAwesomeModel-TestRepo,safcaasd,181,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-24T09:19:43Z,oaklight/krino-qwen3.5-4b-heads,oaklight,0,0,krino-adapter; decision-model; typed-decisions; krino; qwen3.5; text-classification; en; license:mit; region:us
2026-09-24T09:21:02Z,sddddd22/MyAwesomeModel-TestRepo,sddddd22,309,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-24T09:21:02Z,RKNNAI/RK1828-LLM-LFM2.5-2.6B,RKNNAI,0,0,region:us
2026-09-24T09:21:39Z,smk2295/JSQ-Qwen3-8B-Base-uns90-int4,smk2295,0,0,safetensors; qwen3; region:us
2026-09-24T09:21:44Z,ElMusk/fun01,ElMusk,0,0,region:us
2026-09-24T09:21:46Z,ReellnwzaXXD/Qwen3.8-flash-uncen,ReellnwzaXXD,0,0,safetensors; qwen4_exp; 8-bit; modelopt; region:us
2026-09-24T09:22:05Z,kclouds/Qwen2.5-3B-Instruct-OBLITERATED,kclouds,0,0,region:us
2026-09-24T09:22:33Z,Ujfqhfqf/ddd,Ujfqhfqf,0,0,region:us
2026-09-24T09:23:17Z,con-cord/GRPO-RLME-Ordinal-2,con-cord,0,0,transformers; safetensors; gemma3; image-text-to-text; conversational; arxiv:1910.09700; text-generation-inference; endpoints_compatible; region:us
2026-09-24T09:23:19Z,fazinahamed/vey,fazinahamed,0,0,vey; decision-making; embeddings; retrieval; tool-use; cpu; non-generative; en; license:apache-2.0; region:us
2026-09-24T09:23:42Z,shlegg4/iris-models,shlegg4,0,0,onnx; safetensors; region:us
2026-09-24T09:23:59Z,tooldev/MyAwesomeModel-TestRepo,tooldev,2000,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-24T09:24:07Z,tadiecool29/STL-FullFineT-afri-mt5-base-stance,tadiecool29,0,0,transformers; safetensors; mt5; text2text-generation; full-finetuning; amharic; stance-detection; single-task; generated_from_trainer; base_model:masakhane/afri-mt5-base; base_model:finetune:masakhan…
2026-09-24T09:24:20Z,memset0/vsqa-preview-14b-200steps,memset0,0,0,diffusers; safetensors; video-generation; wan2.1; dmd; quantization-aware-training; nvfp4; sparse-attention; text-to-video; base_model:Wan-AI/Wan2.1-T2V-14B-Diffusers; base_model:finetune:Wan-AI/Wan2…
2026-09-24T09:24:24Z,pfeifferj/Ornith-1.5-35B-A3B-GSQ-RCO-GGUF,pfeifferj,0,0,gguf; gsq; rco; quantization; mixed-precision; text-generation; arxiv:2604.18556; arxiv:2605.00649; base_model:ornith-ai/Ornith-1.5-35B-A3B; base_model:quantized:ornith-ai/Ornith-1.5-35B-A3B; doi:10.…
2026-09-24T09:24:46Z,victorayo234/fraud-detection-model,victorayo234,0,1,region:us
2026-09-24T09:25:09Z,RKNNAI/RK1828-LLM-Meta-Llama-3-8B-Instruct,RKNNAI,0,0,region:us
2026-09-24T09:25:32Z,quyetnguyen0188/assets,quyetnguyen0188,0,0,region:us
2026-09-24T09:25:33Z,ElMusk/fun08,ElMusk,0,0,region:us
2026-09-24T09:25:40Z,AIMultiple/laya-typed-decisions-browser-ft,AIMultiple,0,0,safetensors; laya; browser-agents; web-agents; decision-models; en; base_model:convaiinnovations/laya; base_model:finetune:convaiinnovations/laya; license:apache-2.0; region:us
2026-09-24T09:25:41Z,Shiki42/q4a-putcab-original-act-e637-step100000,Shiki42,0,0,safetensors; robotics; ctr; act; q4-a; license:apache-2.0; region:us
2026-09-24T09:25:42Z,Shiki42/q4a-putcab-ctr-nomask-act-e631-step100000,Shiki42,0,0,safetensors; robotics; ctr; act; q4-a; license:apache-2.0; region:us
2026-09-24T09:26:04Z,Johneeee/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-oQ63e-text,Johneeee,0,0,mlx; safetensors; qwen3_5; oq; quantized; 5-bit; region:us
2026-09-24T09:26:29Z,supremekhadka/SwinCVS,supremekhadka,0,0,region:us
2026-09-24T09:27:19Z,RunningHubAI/rh-anima-aesthetic-v1.1-unet,RunningHubAI,0,0,comfyui; unet; text-to-video; region:us
2026-09-24T09:27:30Z,litert-community/Nemotron-3-Diarization-LiteRT,litert-community,0,0,litert; tflite; speaker-diarization; streaming; android; on-device; gpu; voice-activity-detection; arxiv:2507.18446; arxiv:2409.06656; base_model:nvidia/Nemotron-3-Diarization; base_model:quantized:n…
2026-09-24T09:28:33Z,brother-winter/bro01,brother-winter,0,0,region:us
2026-09-24T09:29:16Z,asasdasf/MyAwesomeModel-TestRepo,asasdasf,0,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-24T09:30:09Z,mlx-community/LensVLM-9B-OptiQ-4bit,mlx-community,0,0,mlx; safetensors; qwen3_5; optiq; quantized; mixed-precision; 4bit; 8bit; qwen3.5; vision-language-model; image-text-to-text; long-context; visual-text-compression; apple-silicon; conversational; arx…
2026-09-24T09:30:52Z,yyuan244/asyncrl-m4b_async_s5_mb8_klpi_pg_b0p03-gs50,yyuan244,0,0,region:us
2026-09-24T09:31:02Z,toolathlon-hark/MyAwesomeModel-TestRepo,toolathlon-hark,0,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-24T09:31:02Z,HenryExcellent/Qwen3.6-27B-HITO-Strong-Penalty-v1-Checkpoint100,HenryExcellent,0,0,region:us
2026-09-24T09:31:04Z,RunningHubAI/rh-krea2-lora-2086732173385748482,RunningHubAI,0,0,comfyui; lora; image-text-to-image; region:us
2026-09-24T09:31:06Z,Dohyeon1/ERNIE-SLEM0250,Dohyeon1,0,0,transformers; safetensors; ernie4_5_moe; text-generation; conversational; arxiv:1910.09700; endpoints_compatible; region:us
