created_at,model,author,downloads,likes,tags
2026-09-25T05:20:15Z,RL-Forgetting-Experiments-3/qwen2.5-3b-kk-sft-replay-hard-lam1-step1588,RL-Forgetting-Experiments-3,0,0,safetensors; qwen2; sft; replay; knights-and-knaves; base_model:Qwen/Qwen2.5-3B; base_model:finetune:Qwen/Qwen2.5-3B; license:apache-2.0; region:us
2026-09-25T05:20:15Z,RL-Forgetting-Experiments-3/qwen2.5-3b-kk-sft-replay-uniform-lam1-step2222,RL-Forgetting-Experiments-3,0,0,safetensors; qwen2; sft; replay; knights-and-knaves; base_model:Qwen/Qwen2.5-3B; base_model:finetune:Qwen/Qwen2.5-3B; license:apache-2.0; region:us
2026-09-25T05:20:18Z,RL-Forgetting-Experiments-3/qwen2.5-3b-kk-sft-replay-ce-lam1-step952,RL-Forgetting-Experiments-3,0,0,safetensors; qwen2; sft; replay; knights-and-knaves; base_model:Qwen/Qwen2.5-3B; base_model:finetune:Qwen/Qwen2.5-3B; license:apache-2.0; region:us
2026-09-25T05:20:28Z,Jordansky/replay-6bffc021-E4_head,Jordansky,0,0,safetensors; qwen2; region:us
2026-09-25T05:21:17Z,17o007/nitro-matola,17o007,0,0,license:llama4; region:us
2026-09-25T05:22:03Z,stevafernandes/gttr-cellpose-models,stevafernandes,0,0,region:us
2026-09-25T05:22:18Z,Anurag9817/nepali-llama-590m-1.30b-tokens,Anurag9817,0,0,transformers; safetensors; llama; text-generation; causal-lm; nepali; english; sentencepiece; pretraining; text-generation-inference; endpoints_compatible; region:us
2026-09-25T05:22:23Z,maariaaa12/ariel-2025-pcsbn-dtp-enc-basis-k24-s1-5fold,maariaaa12,0,0,region:us
2026-09-25T05:22:35Z,hi-todayis-jh/per-context-rb-l0-4096-no-eos-qwen3-1.7b-compression-bs32-32k-146102-step_70,hi-todayis-jh,0,0,region:us
2026-09-25T05:23:43Z,sunziqin/millennium-jev-0.5b,sunziqin,0,0,millennium_jev; millennium; jev; system-1; decision-model; non-autoregressive; conformal-prediction; ai-agent; routing; safety; zero-shot-classification; zh; en; base_model:Qwen/Qwen2.5-0.5B-Instruct…
2026-09-25T05:24:56Z,sad21cxzc123szx/MyAwesomeModel-TestRepo,sad21cxzc123szx,0,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-25T05:26:36Z,mradermacher/MiMo-Ornith-9B-AGSI-i1-GGUF,mradermacher,0,0,transformers; gguf; merge; agsi; qwen; qwen3_5; reasoning; coding; agentic; terminal-use; swe-bench; tool-use; en; zh; base_model:OliviaRossi/MiMo-Ornith-9B-AGSI; base_model:quantized:OliviaRossi/MiM…
2026-09-25T05:27:30Z,MD-Mushfiqur123/Craftly-Robot,MD-Mushfiqur123,0,0,transformers; safetensors; bailing_moe; text-generation; conversational; custom_code; arxiv:1910.09700; region:us
2026-09-25T05:27:58Z,RL-Forgetting-Experiments-3/qwen2.5-3b-kk-sft-replay-hard-cooldown-acc-lam1-step318,RL-Forgetting-Experiments-3,0,0,safetensors; qwen2; sft; replay; knights-and-knaves; base_model:Qwen/Qwen2.5-3B; base_model:finetune:Qwen/Qwen2.5-3B; license:apache-2.0; region:us
2026-09-25T05:28:01Z,alibiserikbay/JevK5-9B,alibiserikbay,0,0,transformers; safetensors; qwen3_5_text; text-generation; decision-model; system-one; jev; jev-alternative; typed-decisions; self-hosted; jevbench; calibration; distillation; conversational; en; base…
2026-09-25T05:28:50Z,firzahdzm/tourn-3edc57af-instructtext-hyper-v3s43,firzahdzm,0,0,safetensors; llama; region:us
2026-09-25T05:28:53Z,RL-Forgetting-Experiments-3/qwen2.5-3b-math-sft-ordered-lr1e5-all-checkpoints,RL-Forgetting-Experiments-3,0,0,region:us
2026-09-25T05:28:53Z,RL-Forgetting-Experiments-3/qwen2.5-3b-kk-sft-shuffled-lr1e5-all-checkpoints,RL-Forgetting-Experiments-3,0,0,region:us
2026-09-25T05:29:05Z,RL-Forgetting-Experiments-3/qwen2.5-3b-math-sft-shuffled-lr1e5-all-checkpoints,RL-Forgetting-Experiments-3,0,0,region:us
2026-09-25T05:29:07Z,hyun-soocw/blip-generation-final48,hyun-soocw,0,0,safetensors; blip; pytorch; generation; license:mit; region:us
2026-09-25T05:30:26Z,RL-Forgetting-Experiments-3/qwen2.5-3b-code-sft-ordered-lr1e5-step102,RL-Forgetting-Experiments-3,0,0,transformers; safetensors; qwen2; text-generation; supervised-fine-tuning; code; mbpp; conversational; base_model:Qwen/Qwen2.5-3B; base_model:finetune:Qwen/Qwen2.5-3B; text-generation-inference; endp…
2026-09-25T05:30:35Z,RL-Forgetting-Experiments-3/llama-3.2-3b-instruct-code-sft-replay-ce-lam1-step65,RL-Forgetting-Experiments-3,0,0,transformers; safetensors; llama; text-generation; supervised-fine-tuning; code; mbpp; conversational; base_model:meta-llama/Llama-3.2-3B-Instruct; base_model:finetune:meta-llama/Llama-3.2-3B-Instruc…
2026-09-25T05:30:41Z,RL-Forgetting-Experiments-3/qwen3-1.7b-base-code-sft-replay-hard-lam1-step102,RL-Forgetting-Experiments-3,0,0,transformers; safetensors; qwen3; text-generation; supervised-fine-tuning; code; mbpp; conversational; base_model:Qwen/Qwen3-1.7B-Base; base_model:finetune:Qwen/Qwen3-1.7B-Base; text-generation-infer…
2026-09-25T05:30:48Z,RL-Forgetting-Experiments-3/qwen2.5-3b-code-sft-replay-uniform-lam1-step102,RL-Forgetting-Experiments-3,0,0,transformers; safetensors; qwen2; text-generation; supervised-fine-tuning; code; mbpp; conversational; base_model:Qwen/Qwen2.5-3B; base_model:finetune:Qwen/Qwen2.5-3B; text-generation-inference; endp…
2026-09-25T05:30:53Z,Shivam2396/my_awesome_eli5_clm-model,Shivam2396,0,0,region:us
2026-09-25T05:30:54Z,RL-Forgetting-Experiments-3/qwen2.5-3b-code-sft-shuffled-lr1e5-step102,RL-Forgetting-Experiments-3,0,0,transformers; safetensors; qwen2; text-generation; supervised-fine-tuning; code; mbpp; conversational; base_model:Qwen/Qwen2.5-3B; base_model:finetune:Qwen/Qwen2.5-3B; text-generation-inference; endp…
2026-09-25T05:30:54Z,ert5656/MyAwesomeModel-TestRepo,ert5656,0,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-25T05:31:04Z,oaklight/krino-qwen3-reranker-0.6b-heads,oaklight,0,0,krino-adapter; decision-model; typed-decisions; krino; text-classification; en; license:mit; region:us
2026-09-25T05:32:23Z,RL-Forgetting-Experiments-3/qwen3-1.7b-base-code-sft-replay-uniform-lam1-step102,RL-Forgetting-Experiments-3,0,0,transformers; safetensors; qwen3; text-generation; supervised-fine-tuning; code; mbpp; conversational; base_model:Qwen/Qwen3-1.7B-Base; base_model:finetune:Qwen/Qwen3-1.7B-Base; text-generation-infer…
2026-09-25T05:32:34Z,RL-Forgetting-Experiments-3/llama-3.2-3b-instruct-code-sft-replay-uniform-lam1-step65,RL-Forgetting-Experiments-3,0,0,transformers; safetensors; llama; text-generation; supervised-fine-tuning; code; mbpp; conversational; base_model:meta-llama/Llama-3.2-3B-Instruct; base_model:finetune:meta-llama/Llama-3.2-3B-Instruc…
2026-09-25T05:32:37Z,RL-Forgetting-Experiments-3/qwen3-1.7b-base-code-sft-replay-ce-lam1-step102,RL-Forgetting-Experiments-3,0,0,transformers; safetensors; qwen3; text-generation; supervised-fine-tuning; code; mbpp; conversational; base_model:Qwen/Qwen3-1.7B-Base; base_model:finetune:Qwen/Qwen3-1.7B-Base; text-generation-infer…
2026-09-25T05:32:54Z,RL-Forgetting-Experiments-3/qwen2.5-3b-code-sft-replay-hard-lam1-step102,RL-Forgetting-Experiments-3,0,0,transformers; safetensors; qwen2; text-generation; supervised-fine-tuning; code; mbpp; conversational; base_model:Qwen/Qwen2.5-3B; base_model:finetune:Qwen/Qwen2.5-3B; text-generation-inference; endp…
2026-09-25T05:32:54Z,RL-Forgetting-Experiments-3/qwen2.5-3b-code-sft-replay-ce-lam1-step102,RL-Forgetting-Experiments-3,0,0,transformers; safetensors; qwen2; text-generation; supervised-fine-tuning; code; mbpp; conversational; base_model:Qwen/Qwen2.5-3B; base_model:finetune:Qwen/Qwen2.5-3B; text-generation-inference; endp…
2026-09-25T05:33:23Z,forbiddenmichael/cyberrealistic-zit-v4-adapter,forbiddenmichael,0,0,lora; z-image; z-image-turbo; adapter; base_model:Tongyi-MAI/Z-Image-Turbo; base_model:adapter:Tongyi-MAI/Z-Image-Turbo; license:other; region:us
2026-09-25T05:34:00Z,maximilianschu/mixer-checkpoint,maximilianschu,0,0,safetensors; mixer; pytorch; multitask; license:bsd-3-clause; region:us
