created_at,model,author,downloads,likes,tags
2026-09-26T08:20:23Z,yyuan244/asyncrl-m4b_async_s5_mb8_klpi_pg_b0p05_adbeta_eta0p05-gs200,yyuan244,0,0,region:us
2026-09-26T08:21:03Z,sadfsg4546/MyAwesomeModel-TestRepo,sadfsg4546,0,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-26T08:21:42Z,tttxxic/qwinsi,tttxxic,0,0,region:us
2026-09-26T08:21:42Z,Aftian2429/god-replica-z-ideo-asoup-s1,Aftian2429,0,0,region:us
2026-09-26T08:21:58Z,Haruka041/Coruscant,Haruka041,0,0,diffusers; text-to-image; lora; template:diffusion-lora; base_model:krea/Krea-2-Turbo; base_model:adapter:krea/Krea-2-Turbo; region:us
2026-09-26T08:22:01Z,RunningHubAI/rh-flux2v3-lora,RunningHubAI,0,0,comfyui; lora; text-to-image; region:us
2026-09-26T08:22:20Z,SamuelTallet/Pruna-Qwen-Image-2.1-8steps-SDNQ-4bit-dynamic-hadamard256,SamuelTallet,0,0,diffusers; safetensors; qwen21; sdnq; 4-bit; image-to-image; base_model:Qwen/Qwen-Image-2.1; base_model:quantized:Qwen/Qwen-Image-2.1; license:other; diffusers:QwenImage21Pipeline; 8-bit; region:us
2026-09-26T08:22:20Z,RunningHubAI/rh-minimax-h3-ref2va-turbo-int8-convrot-unet,RunningHubAI,0,0,comfyui; unet; text-to-video; region:us
2026-09-26T08:22:46Z,joshycodes/mistral-7b-fve-workdiscern-s0,joshycodes,0,0,safetensors; mistral; synthetic-document-finetuning; self-authored-character; model-welfare; research; not-for-deployment; base_model:mistralai/Mistral-7B-Instruct-v0.3; base_model:finetune:mistralai…
2026-09-26T08:23:05Z,RunningHubAI/rh-2079064757906268161-lora,RunningHubAI,0,0,comfyui; lora; text-to-image; region:us
2026-09-26T08:23:16Z,Piyush445/qwen3-1.7b-intent-16bit,Piyush445,0,0,safetensors; gguf; qwen3; llama.cpp; unsloth; endpoints_compatible; region:us; conversational
2026-09-26T08:23:22Z,RyanYr/asyncrl-async_s10_mb8_klold-gs300,RyanYr,0,0,region:us
2026-09-26T08:24:31Z,Suchti777/MyAI,Suchti777,0,0,region:us
2026-09-26T08:24:49Z,LuffyTheFox/Qwen3.6-27B-Uncensored-Genesis-GGUF,LuffyTheFox,0,0,uncensored; qwen3.6; moe; gguf; vision; multimodal; genesis; image-text-to-text; en; zh; multilingual; base_model:HauhauCS/Qwen3.6-27B-Uncensored-HauhauCS-Aggressive; base_model:finetune:HauhauCS/Qwe…
2026-09-26T08:24:53Z,Johneeee/Qwen3.8-27B-TURBO-Fable-Cold-Fusion-735-882-Heretic-Uncensored-NM-DAU-oQ63e-fp16-text,Johneeee,0,0,mlx; safetensors; qwen3_5; oq; quantized; 5-bit; region:us
2026-09-26T08:25:33Z,lseanlon/laya-multilingual-onnx,lseanlon,0,0,onnxruntime; onnx; webgpu; browser; base_model:convaiinnovations/laya-multilingual; base_model:quantized:convaiinnovations/laya-multilingual; license:apache-2.0; region:us
2026-09-26T08:26:35Z,manaswinibj/bert-tiny-mnli,manaswinibj,0,0,pytorch; jax; bert; arxiv:1908.08962; arxiv:2110.01518; region:us
2026-09-26T08:26:50Z,safafa45346/MyAwesomeModel-TestRepo,safafa45346,0,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-26T08:27:41Z,shreyashsri79/satquery-m1-rs-vqa,shreyashsri79,0,0,peft; safetensors; remote-sensing; visual-question-answering; qlora; dataset:xiang709/VRSBench; base_model:Qwen/Qwen2-VL-7B-Instruct; base_model:adapter:Qwen/Qwen2-VL-7B-Instruct; license:apache-2.0;…
2026-09-26T08:28:21Z,alihmaou/laya-nao-mobilite,alihmaou,0,0,region:us
2026-09-26T08:28:46Z,Suarify/laya-multilingual-onnx,Suarify,0,0,onnxruntime; onnx; webgpu; browser; base_model:convaiinnovations/laya-multilingual; base_model:quantized:convaiinnovations/laya-multilingual; license:apache-2.0; region:us
2026-09-26T08:29:03Z,bimabk/yxz-ideo4-h5-99ffdb9b-s0b,bimabk,0,0,region:us
2026-09-26T08:29:14Z,creativedev1234/co28,creativedev1234,0,0,region:us
2026-09-26T08:29:30Z,aviv887/co7,aviv887,0,0,region:us
2026-09-26T08:29:33Z,lightseek0123/co17,lightseek0123,0,0,region:us
2026-09-26T08:29:33Z,poorclaude/co16,poorclaude,0,0,region:us
2026-09-26T08:29:39Z,Vanessa-F/Mixtral-8x7B-MaskCoFT,Vanessa-F,0,0,safetensors; mixtral; license:apache-2.0; region:us
2026-09-26T08:29:41Z,danielbruno9346/chrono-2022-31,danielbruno9346,0,0,safetensors; sn38-nanochrono; region:us
2026-09-26T08:29:43Z,lightseek0123/co19,lightseek0123,0,0,region:us
2026-09-26T08:29:44Z,aviv887/co21,aviv887,0,0,region:us
2026-09-26T08:29:48Z,aixk/b3-200m1,aixk,0,0,region:us
2026-09-26T08:29:53Z,aixk/b3-150m1,aixk,0,0,region:us
