created_at,model,author,downloads,likes,tags
2026-09-26T13:20:13Z,dylanmdm7/quick-retrieval,dylanmdm7,0,0,safetensors; perceiver; pytorch; retrieval; license:bsd-3-clause; region:us
2026-09-26T13:20:22Z,Dat2508/rex,Dat2508,0,2,safetensors; decision-engine; system-one; laya; requin-agent; security; prompt-injection; web-attack; text-classification; vi; en; license:apache-2.0; region:us
2026-09-26T13:20:31Z,Hcris214/qwen-image-edit-plus-nsfw-lora,Hcris214,0,1,diffusers; lora; text-to-image; nsfw; image-editing; qwen-image-edit; not-for-all-audiences; image-to-image; base_model:Qwen/Qwen-Image-Edit-2511; base_model:adapter:Qwen/Qwen-Image-Edit-2511; licens…
2026-09-26T13:21:38Z,viha-andja/classification,viha-andja,0,0,safetensors; dino; pytorch; classification; license:bsd-3-clause; region:us
2026-09-26T13:23:23Z,rbalazs/smolvla_leftcupfinal,rbalazs,0,0,safetensors; region:us
2026-09-26T13:23:48Z,JohnSanchez/dl-retrieval,JohnSanchez,0,0,safetensors; flamingo; pytorch; retrieval; license:mit; region:us
2026-09-26T13:24:04Z,Jahirrrr/Klyra-64M-Midtrain,Jahirrrr,0,0,safetensors; klyra; region:us
2026-09-26T13:24:13Z,1bit-MONSTER/Qwen3-0.6B-GGUF,1bit-MONSTER,0,0,gguf; base_model:Qwen/Qwen3-0.6B; base_model:quantized:Qwen/Qwen3-0.6B; license:apache-2.0; endpoints_compatible; region:us; conversational
2026-09-26T13:25:06Z,Alice36/bev_926_2_16,Alice36,0,0,onnx; region:us
2026-09-26T13:25:42Z,yyuan244/asyncrl-m4b_async_s5_mb8_klold-gs210,yyuan244,0,0,region:us
2026-09-26T13:25:43Z,1bit-MONSTER/Qwen3-1.7B-GGUF,1bit-MONSTER,0,0,gguf; base_model:Qwen/Qwen3-1.7B; base_model:quantized:Qwen/Qwen3-1.7B; license:apache-2.0; endpoints_compatible; region:us; conversational
2026-09-26T13:26:35Z,GONZALEZRYAN/mobilevit-matching,GONZALEZRYAN,0,0,safetensors; mobilevit; pytorch; matching; license:apache-2.0; region:us
2026-09-26T13:26:59Z,SicariusSicariiStuff/Minimax_H3_LoRAs,SicariusSicariiStuff,0,0,text-to-video; en; license:other; region:us
2026-09-26T13:27:07Z,OceanLabs/Ocean-1-4B,OceanLabs,0,1,transformers; safetensors; spark2_5; text-generation; llm; ocean1; agent; conversational; custom_code; license:apache-2.0; region:us
2026-09-26T13:27:34Z,masterofnone00/qwen3-4b-jsmill-persona-merged,masterofnone00,0,0,transformers; safetensors; qwen3; text-generation; text-generation-inference; unsloth; conversational; en; license:apache-2.0; endpoints_compatible; region:us
2026-09-26T13:27:35Z,1bit-MONSTER/Qwen3-4B-GGUF,1bit-MONSTER,0,0,gguf; base_model:Qwen/Qwen3-4B; base_model:quantized:Qwen/Qwen3-4B; license:apache-2.0; endpoints_compatible; region:us; conversational
2026-09-26T13:27:54Z,pytholove/DocInsight-router-heads,pytholove,0,0,region:us
2026-09-26T13:28:09Z,Cybronya/SDXL-toolkit,Cybronya,0,0,license:apache-2.0; region:us
2026-09-26T13:29:30Z,Ankyildirim/mocov3-multitask-distilled,Ankyildirim,0,0,safetensors; mocov3; pytorch; multitask; license:bsd-3-clause; region:us
2026-09-26T13:29:34Z,1bit-MONSTER/Qwen3-8B-GGUF,1bit-MONSTER,0,0,gguf; base_model:Qwen/Qwen3-8B; base_model:quantized:Qwen/Qwen3-8B; license:apache-2.0; endpoints_compatible; region:us; conversational
2026-09-26T13:29:48Z,cphr/KarmaPro,cphr,0,0,ml; bayesian; en; license:apache-2.0; region:us
2026-09-26T13:29:52Z,toolathlon4/MyAwesomeModel-TestRepo,toolathlon4,0,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-26T13:31:08Z,Reina8/qwen-health-compressed,Reina8,0,0,region:us
2026-09-26T13:31:40Z,Suhong/convnext-tiny-finetuned-age-gender-morph,Suhong,0,0,pytorch; safetensors; age-estimation; gender-classification; face; convnext; fine-tuned; image-classification; license:cc-by-nc-4.0; region:us
2026-09-26T13:32:30Z,chrisluo5311/a2c-PandaPushDense-v3,chrisluo5311,0,0,stable-baselines3; PandaPushDense-v3; deep-reinforcement-learning; reinforcement-learning; model-index; region:us
2026-09-26T13:32:33Z,Tenry55/smolvla_Pick_and_put_screw_driver,Tenry55,0,0,lerobot; safetensors; robotics; smolvla; dataset:Tenry55/Pick_and_put_screw_driver_Merged_350; arxiv:2506.01844; base_model:lerobot/smolvla_base; base_model:finetune:lerobot/smolvla_base; license:apa…
2026-09-26T13:32:48Z,gyroscape/gyro-decision,gyroscape,0,3,transformers; safetensors; decision-making; candidate-selection; ranking; routing; abstention; text-classification; en; license:apache-2.0; endpoints_compatible; region:us
2026-09-26T13:32:54Z,1bit-MONSTER/Qwen3-14B-GGUF,1bit-MONSTER,0,0,gguf; base_model:Qwen/Qwen3-14B; base_model:quantized:Qwen/Qwen3-14B; license:apache-2.0; endpoints_compatible; region:us; conversational
2026-09-26T13:32:59Z,jjjlimaus/chrono-2021-2022-dense-ql-mix,jjjlimaus,0,0,safetensors; sn38-nanochrono; region:us
2026-09-26T13:33:09Z,taylorsmi28x/poolformer-demo,taylorsmi28x,0,0,safetensors; poolformer; pytorch; generation; license:apache-2.0; region:us
2026-09-26T13:33:29Z,taylorsmi28x/clip-generation-fast,taylorsmi28x,0,0,safetensors; clip; pytorch; generation; license:mit; region:us
2026-09-26T13:33:44Z,sigmanih/openbmb-MiniCPM5-2B-MLX-GGUF-F16,sigmanih,0,0,gguf; text-generation; sigma-studio; sigmanih; conversational; custom-model; llama.cpp; quantized; q4_k_m; en; it; base_model:openbmb/MiniCPM5-2B-MLX; base_model:quantized:openbmb/MiniCPM5-2B-MLX; li…
2026-09-26T13:33:59Z,muhammad-taqi512/LYRA-LLAMA,muhammad-taqi512,0,0,transformers; safetensors; llama; text-generation; custom-ai; lyra-llama; muhammad-taqi; conversational; en; license:apache-2.0; text-generation-inference; endpoints_compatible; region:us
2026-09-26T13:35:11Z,walkertyler96/study-embodied-ai,walkertyler96,0,0,safetensors; transformer; research-notes; embodied-ai; license:mit; region:us
2026-09-26T13:35:21Z,DSA12DSA213/MyAwesomeModel-TestRepo,DSA12DSA213,0,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-26T13:36:18Z,yyuan244/asyncrl-m4b_async_s5_mb8_klpi_pg_b0p05_adbeta_eta0p05-gs220,yyuan244,0,0,region:us
2026-09-26T13:36:52Z,toolathlonmsft2/MyAwesomeModel-TestRepo,toolathlonmsft2,0,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-26T13:37:06Z,kusumabambang/phd-prompt-engineering,kusumabambang,0,0,safetensors; transformer; research-notes; prompt-engineering; license:mit; region:us
2026-09-26T13:37:14Z,jafarahmadi/SedaNevis_v1.0,jafarahmadi,0,0,nemo; automatic-speech-recognition; speech; audio; conformer; fastconformer; rnnt; pytorch; fa; dataset:AliAvd/persian-elderly-asr; dataset:farsi-asr/farsi-asr-dataset; dataset:Thomcles/Persian-Farsi…
2026-09-26T13:37:49Z,OceanLabs/Coral-Finance,OceanLabs,0,0,license:apache-2.0; region:us
2026-09-26T13:37:51Z,lightsource/eva_mad_model,lightsource,0,0,region:us
2026-09-26T13:38:08Z,Sai081/codet5p-multilingual-translator-lora,Sai081,0,0,peft; safetensors; base_model:adapter:Salesforce/codet5p-770m; lora; transformers; base_model:Salesforce/codet5p-770m; license:bsd-3-clause; region:us
2026-09-26T13:38:25Z,Ldnmoore9114/cs231n-embodied-ai,Ldnmoore9114,0,0,safetensors; transformer; research-notes; embodied-ai; license:cc-by-4.0; region:us
2026-09-26T13:39:28Z,1bit-MONSTER/Qwen3-32B-GGUF,1bit-MONSTER,0,0,gguf; base_model:Qwen/Qwen3-32B; base_model:quantized:Qwen/Qwen3-32B; license:apache-2.0; endpoints_compatible; region:us; conversational
2026-09-26T13:39:55Z,anilkumarzep/tiny-transformer-contrastive-int4,anilkumarzep,0,0,safetensors; tiny_transformer; pytorch; tiny-transformer; contrastive; license:apache-2.0; region:us
2026-09-26T13:40:17Z,anilkumarzep/beit-retrieval-tutorial,anilkumarzep,0,0,safetensors; beit; pytorch; retrieval; license:bsd-3-clause; region:us
2026-09-26T13:40:23Z,social-tom/a3-tomgate05-seed42,social-tom,0,0,safetensors; region:us
2026-09-26T13:41:05Z,wxsys/tyranid-bert,wxsys,0,0,onnx; safetensors; code-oracle; tyranid; modernbert; int8; code-verification; neuro-symbolic; static-analysis; warhammer-40k; text-classification; en; code; base_model:answerdotai/ModernBERT-base; ba…
2026-09-26T13:41:14Z,muhammad-taqi512/LYRA-LLAMA-V1,muhammad-taqi512,0,0,region:us
2026-09-26T13:41:21Z,Cybronya/Pony-toolkit,Cybronya,0,0,license:apache-2.0; region:us
2026-09-26T13:41:31Z,logicwahid/MEGHNA-2.5-1B,logicwahid,0,0,license:mit; region:us
2026-09-26T13:43:41Z,Ethernos/ArkEcho-R2-Amiya-Chinese-Heavy,Ethernos,0,0,audio-to-audio; zh; license:cc-by-nc-4.0; region:us
2026-09-26T13:43:50Z,sigmanih/XHToken-Spark-X2.5-4B-GGUF,sigmanih,0,0,gguf; text-generation; sigma-studio; sigmanih; conversational; custom-model; llama.cpp; quantized; q4_k_m; en; it; base_model:XHToken/Spark-X2.5-4B; base_model:quantized:XHToken/Spark-X2.5-4B; licens…
2026-09-26T13:44:09Z,RunningHubAI/rh-sd1.5-1.0-checkpoint,RunningHubAI,0,0,comfyui; checkpoint; region:us
2026-09-26T13:44:10Z,jucamohedano/rlm-laguna-xs2-dense-3b-v0.1,jucamohedano,0,0,transformers; safetensors; laguna_dense; text-generation; rlm; recursive-language-model; repl; codeact; moe-to-dense; laguna; sft; lora; conversational; custom_code; en; arxiv:2512.24601; base_model:…
2026-09-26T13:44:35Z,kaikytoledo/ppo-Pyramids,kaikytoledo,0,0,ml-agents; tensorboard; onnx; Pyramids; deep-reinforcement-learning; reinforcement-learning; ML-Agents-Pyramids; region:us
2026-09-26T13:44:37Z,OceanLabs/Ocean-1-4B-DSpark,OceanLabs,0,1,transformers; safetensors; dspark; text-generation; llm; agent; conversational; custom_code; license:apache-2.0; region:us
2026-09-26T13:45:05Z,RunningHubAI/rh-h3nsfwlora-lora-2096782313941434370,RunningHubAI,0,0,comfyui; lora; region:us
2026-09-26T13:45:08Z,1bit-MONSTER/Qwen3-30B-A3B-GGUF,1bit-MONSTER,0,0,gguf; moe; base_model:Qwen/Qwen3-30B-A3B; base_model:quantized:Qwen/Qwen3-30B-A3B; license:apache-2.0; endpoints_compatible; region:us; conversational
2026-09-26T13:45:46Z,boods/FrMedQA-CrossLingual-v2-NoPPL-qlora-Unified,boods,0,0,transformers; safetensors; unsloth; arxiv:1910.09700; endpoints_compatible; region:us
2026-09-26T13:47:17Z,Sakura-shem/asr-artifacts-v23,Sakura-shem,0,0,region:us
2026-09-26T13:47:27Z,1bit-MONSTER/Qwen3-Coder-30B-A3B-Instruct-GGUF,1bit-MONSTER,0,0,gguf; moe; coder; base_model:Qwen/Qwen3-Coder-30B-A3B-Instruct; base_model:quantized:Qwen/Qwen3-Coder-30B-A3B-Instruct; license:apache-2.0; endpoints_compatible; region:us; imatrix; conversational
2026-09-26T13:47:43Z,hpachdpii/qwen3-1.7b_questioner_v7_model,hpachdpii,0,0,safetensors; qwen3; region:us
2026-09-26T13:47:51Z,thealper2/decision-transformer-halfcheetah-expert,thealper2,0,0,pytorch; safetensors; decision_transformer; decision-transformer; offline-reinforcement-learning; reinforcement-learning; mujoco; gymnasium; halfcheetah; d4rl; dataset:edbeeching/decision_transformer…
2026-09-26T13:48:53Z,pankajydv08/unsloth-qwen3-1.7b-FT,pankajydv08,0,0,safetensors; qwen3; license:apache-2.0; region:us
2026-09-26T13:49:01Z,adamgladysz-studio/MilkyGPToss5,adamgladysz-studio,0,0,transformers; AdamGladysz; AdamG; text-generation; pl; en; zh; base_model:adamgladysz-studio/MilkyAgent-1.0; base_model:finetune:adamgladysz-studio/MilkyAgent-1.0; license:mit; endpoints_compatible;…
2026-09-26T13:49:15Z,god8868/Qwen-Image-2.1-Uncensored-GGUF,god8868,0,0,gguf; qwen; image-generation; comfyui; comfyui-gguf; text-to-image; base_model:Qwen/Qwen-Image-2.1; base_model:quantized:Qwen/Qwen-Image-2.1; license:other; region:us
2026-09-26T13:49:57Z,Sakura-shem/asr-artifacts-v24,Sakura-shem,0,0,region:us
2026-09-26T13:50:01Z,thongbuind/SAI-Embedding_100M,thongbuind,0,0,embeddings; retrieval; llm2vec; matryoshka; custom-code; sentence-similarity; vi; arxiv:2404.05961; arxiv:1807.03748; arxiv:2205.13147; arxiv:2101.06983; arxiv:2212.03533; arxiv:2104.08663; base_mode…
2026-09-26T13:50:44Z,Ryanham1lton/Gabite,Ryanham1lton,0,0,license:cc-by-4.0; region:us
2026-09-26T13:50:59Z,1bit-MONSTER/Qwen2.5-0.5B-Instruct-GGUF,1bit-MONSTER,0,0,gguf; base_model:Qwen/Qwen2.5-0.5B-Instruct; base_model:quantized:Qwen/Qwen2.5-0.5B-Instruct; license:apache-2.0; endpoints_compatible; region:us; conversational
2026-09-26T13:51:05Z,aildermi/qwen-image-persian-experiments,aildermi,0,0,region:us
2026-09-26T13:51:52Z,1bit-MONSTER/Qwen2.5-1.5B-Instruct-GGUF,1bit-MONSTER,0,0,gguf; base_model:Qwen/Qwen2.5-1.5B-Instruct; base_model:quantized:Qwen/Qwen2.5-1.5B-Instruct; license:apache-2.0; endpoints_compatible; region:us; conversational
2026-09-26T13:52:37Z,aixk/b5-150m-rag,aixk,0,0,region:us
2026-09-26T13:53:06Z,1bit-MONSTER/Qwen2.5-3B-Instruct-GGUF,1bit-MONSTER,0,0,gguf; base_model:Qwen/Qwen2.5-3B-Instruct; base_model:quantized:Qwen/Qwen2.5-3B-Instruct; license:other; endpoints_compatible; region:us; conversational
2026-09-26T13:53:52Z,krut42/voice-parakeet-tdt-110m-en-int8,krut42,0,0,sherpa-onnx; onnx; nemo; parakeet; int8; automatic-speech-recognition; en; base_model:nvidia/parakeet-tdt_ctc-110m; base_model:quantized:nvidia/parakeet-tdt_ctc-110m; license:cc-by-4.0; region:us
2026-09-26T13:54:04Z,masterofnone00/qwen3-4b-jsmill-persona-GGUF,masterofnone00,0,0,gguf; qwen3; llama.cpp; unsloth; endpoints_compatible; region:us; conversational
2026-09-26T13:54:16Z,CXZGBTYQWR1/MyAwesomeModel-TestRepo,CXZGBTYQWR1,0,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-26T13:54:39Z,tttoola/MyAwesomeModel-TestRepo,tttoola,0,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-26T13:55:16Z,1bit-MONSTER/Qwen2.5-7B-Instruct-GGUF,1bit-MONSTER,0,0,gguf; base_model:Qwen/Qwen2.5-7B-Instruct; base_model:quantized:Qwen/Qwen2.5-7B-Instruct; license:apache-2.0; endpoints_compatible; region:us; conversational
