created_at,model,author,downloads,likes,tags
2026-09-25T09:22:17Z,ESVLA/act_red_cylinder_5points_v1,ESVLA,0,0,lerobot; safetensors; robotics; act; dataset:ESVLA/red-cylinder-5points-25eps-v1; arxiv:2304.13705; license:apache-2.0; region:us
2026-09-25T09:22:27Z,anhdao69/StageVLN-v0-r2r-uniform8,anhdao69,0,0,safetensors; qwen3_5; vision-language-navigation; r2r; base_model:Qwen/Qwen3.5-4B; base_model:finetune:Qwen/Qwen3.5-4B; region:us
2026-09-25T09:22:36Z,Thiagocostaduv/multitask-notes,Thiagocostaduv,0,0,safetensors; albef; pytorch; multitask; license:mit; region:us
2026-09-25T09:22:39Z,SamWar216/compliance-agent-lora,SamWar216,0,0,transformers; safetensors; arxiv:1910.09700; endpoints_compatible; region:us
2026-09-25T09:22:45Z,adimyth/pulse-goemotions,adimyth,0,0,safetensors; pulse; sentiment-analysis; emotion; multi-label-classification; pytorch; text-classification; en; dataset:google-research-datasets/go_emotions; base_model:sentence-transformers/all-MiniL…
2026-09-25T09:23:01Z,RyanYr/asyncrl-math_sc_tis_s40_shuf-gs1440,RyanYr,0,0,region:us
2026-09-25T09:23:49Z,blackirron/tf,blackirron,0,0,region:us
2026-09-25T09:23:50Z,yuan1119/pointact-rlbench-filled6-v2-cls-step40000,yuan1119,0,0,transformers; safetensors; VLAEncDec3DModel; robotics; rlbench; point-cloud; pointact; license:apache-2.0; endpoints_compatible; region:us
2026-09-25T09:24:34Z,firzahdzm/tourn-3edc57af-instructtext-super-e3,firzahdzm,0,0,safetensors; llama; region:us
2026-09-25T09:24:38Z,deepaksinghie/generation,deepaksinghie,0,0,safetensors; vit; pytorch; generation; license:bsd-3-clause; region:us
2026-09-25T09:24:42Z,Shreyansh1409/cogvideox-2b-img2vid,Shreyansh1409,0,0,diffusers; safetensors; cogvideox; video-generation; image-to-video; en; license:apache-2.0; diffusers:CogVideoXPipeline; region:us
2026-09-25T09:24:59Z,deepaksinghie/dino-matching,deepaksinghie,0,0,safetensors; dino; pytorch; matching; license:apache-2.0; region:us
2026-09-25T09:25:03Z,Sounness/smolvla_lekiwi_80ep_10000,Sounness,0,0,lerobot; safetensors; smolvla; robotics; dataset:Sounness/lekiwi_pick_and_place_v2_80ep; arxiv:2506.01844; base_model:lerobot/smolvla_base; base_model:finetune:lerobot/smolvla_base; license:apache-2.…
