created_at,model,author,downloads,likes,tags
2026-09-25T20:20:47Z,yyuan244/asyncrl-m4b_sc_tis_s40_shuf-gs200,yyuan244,0,0,region:us
2026-09-25T20:21:34Z,Tohirju/sl-driftwood,Tohirju,0,0,safetensors; license:cc-by-nc-4.0; region:us
2026-09-25T20:21:37Z,ryandcunha/mmbu-jev-qwen3-0.6b-freetext,ryandcunha,0,0,any2jev; safetensors; system-one; decision-model; jev; calibration; lora; text-classification; base_model:Qwen/Qwen3-0.6B; base_model:adapter:Qwen/Qwen3-0.6B; license:apache-2.0; region:us
2026-09-25T20:21:38Z,alishanamin/Burushaski-translator-model,alishanamin,0,0,safetensors; marian; region:us
2026-09-25T20:21:46Z,KevayneCst/ppo_LunarLander-v3,KevayneCst,0,0,stable-baselines3; LunarLander-v3; deep-reinforcement-learning; reinforcement-learning; model-index; region:us
2026-09-25T20:21:50Z,Tohirju/sl-cress,Tohirju,0,0,nemo; safetensors; gguf; license:cc-by-nc-4.0; region:us
2026-09-25T20:22:28Z,Cisco1963/llmplasticity-baseline-nl_zh_instant_8-s43,Cisco1963,0,0,safetensors; gpt2; region:us
2026-09-25T20:22:49Z,anishsaha/iAmTime-base-forecast,anishsaha,0,1,license:apache-2.0; region:us
2026-09-25T20:23:08Z,Rckflr/kev-gemma-270m-rule-classifier-es-v8-experimental,Rckflr,0,0,peft; safetensors; kev; gemma-3; lora; rule-classification; selective-prediction; experimental; text-classification; es; base_model:google/gemma-3-270m; base_model:adapter:google/gemma-3-270m; licens…
2026-09-25T20:23:33Z,dougalldeepmind/2026-09-25-qwen36-0-nonmoral-original-15,dougalldeepmind,0,0,safetensors; region:us
2026-09-25T20:24:02Z,Gsnunn-831/bix-flux-lora,Gsnunn-831,0,0,region:us
2026-09-25T20:24:02Z,musetric/aname-mel-band-roformer-duality-onnx,musetric,0,0,onnxruntime; onnx; audio; source-separation; vocals; music; mel-band-roformer; webgpu; audio-to-audio; arxiv:2310.01809; base_model:Aname-Tommy/Mel-Band-Roformer_Duality; base_model:quantized:Aname-T…
2026-09-25T20:24:06Z,RunningHubAI/rh-krea2-lora-2100229081405493250,RunningHubAI,0,0,comfyui; lora; image-text-to-image; region:us
2026-09-25T20:24:29Z,SAD1CZ12DSA/MyAwesomeModel-TestRepo,SAD1CZ12DSA,0,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-25T20:24:30Z,ghsths/MyAwesomeModel-TestRepo,ghsths,0,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-25T20:26:16Z,clear-blue-sky/cto01,clear-blue-sky,0,0,region:us
2026-09-25T20:26:24Z,fanqi-robo/pi05_busybox_push_green_button_norm_meanstd_ckpts,fanqi-robo,0,0,safetensors; region:us
2026-09-25T20:26:47Z,rhine-river/co156,rhine-river,0,0,region:us
2026-09-25T20:26:47Z,Tohirju/sl-jasmine,Tohirju,0,0,safetensors; license:cc-by-nc-4.0; region:us
2026-09-25T20:26:49Z,Mohammadasadipro2026/Aa,Mohammadasadipro2026,0,0,region:us
2026-09-25T20:26:50Z,check123432/co192,check123432,0,0,region:us
2026-09-25T20:26:50Z,Maksdev325/co193,Maksdev325,0,0,region:us
2026-09-25T20:26:52Z,fanqi-robo/pi05_busybox_push_green_button_norm_minmax_ckpts,fanqi-robo,0,0,safetensors; region:us
2026-09-25T20:26:58Z,ElMusk/fun02,ElMusk,0,0,region:us
2026-09-25T20:27:33Z,parmanu-lcs2/Qwen3-6B,parmanu-lcs2,0,1,transformers; safetensors; qwen3; text-generation; pruned; sniper; llm-pruning; compression; lora; fine-tuned; conversational; custom_code; dataset:Open-Orca/SlimOrca; arxiv:2608.12953; base_model:Qw…
2026-09-25T20:28:35Z,fanqi-robo/pi05_busybox_push_green_button_b0_ckpts,fanqi-robo,0,0,safetensors; region:us
2026-09-25T20:28:49Z,mama-chen/mum04,mama-chen,0,0,region:us
2026-09-25T20:29:03Z,Tohirju/sl-kelp,Tohirju,0,0,safetensors; license:cc-by-nc-4.0; region:us
2026-09-25T20:29:04Z,ElMusk/fun05,ElMusk,0,0,region:us
2026-09-25T20:29:32Z,KevayneCst/ppo_LunarLander-v2,KevayneCst,0,0,stable-baselines3; LunarLander-v3; deep-reinforcement-learning; reinforcement-learning; model-index; region:us
2026-09-25T20:29:48Z,JM-7/V4_IR_RETRY_EXPERIMENT_RESULTS,JM-7,0,0,region:us
2026-09-25T20:29:55Z,fanqi-robo/pi05_busybox_push_green_button_b0_seed2_ckpts,fanqi-robo,0,0,safetensors; region:us
2026-09-25T20:30:12Z,fnl-es/qwen3-0.6b-muc4-lora-smoke,fnl-es,0,0,peft; safetensors; lora; event-extraction; muc-4; dataset:fnl-es/muc4-chat; base_model:Qwen/Qwen3-0.6B; base_model:adapter:Qwen/Qwen3-0.6B; region:us
2026-09-25T20:30:13Z,fanqi-robo/pi05_busybox_push_green_button_aug_default_ckpts,fanqi-robo,0,0,safetensors; region:us
2026-09-25T20:30:38Z,KevayneCst/ppo-LunarLander-v2,KevayneCst,0,0,stable-baselines3; LunarLander-v3; deep-reinforcement-learning; reinforcement-learning; model-index; region:us
2026-09-25T20:31:03Z,RunningHubAI/rh-krea2-lora-2096950647055978498,RunningHubAI,0,0,comfyui; lora; image-text-to-image; region:us
2026-09-25T20:31:04Z,Tohirju/sl-lavender,Tohirju,0,0,safetensors; license:cc-by-nc-4.0; region:us
2026-09-25T20:31:28Z,NexLM/AeroEmbed-1,NexLM,0,0,region:us
2026-09-25T20:32:11Z,Tohirju/sl-jonquil,Tohirju,0,0,safetensors; license:cc-by-nc-4.0; region:us
2026-09-25T20:32:27Z,RunningHubAI/rh-minimax-h3-hybrid-fl2va-ref2va-b25-49-int8-r-unet,RunningHubAI,0,0,comfyui; unet; text-to-video; region:us
2026-09-25T20:32:38Z,oliveoil8888/kinova-openvla-lora,oliveoil8888,0,0,safetensors; openvla; custom_code; region:us
