created_at,model,author,downloads,likes,tags
2026-09-24T14:22:31Z,502error/sdxs-512-dreamshaper,502error,0,0,diffusers; safetensors; text-to-image; stable-diffusion; arxiv:2403.16627; license:openrail++; diffusers:StableDiffusionPipeline; region:us
2026-09-24T14:22:44Z,MANGSEOK123/qwen3-4b-tau2-oel-retail-setting4-n139,MANGSEOK123,0,0,safetensors; qwen3; tau2-bench; experiential-learning; self-distillation; en; base_model:Qwen/Qwen3-4B-Instruct-2507; base_model:finetune:Qwen/Qwen3-4B-Instruct-2507; license:apache-2.0; region:us
2026-09-24T14:22:54Z,francesca9805/ppt-wc-uniform-newlex-ita-before-100mb-packed-bfd_seed455,francesca9805,0,0,transformers; safetensors; gpt2; text-generation; generated_from_trainer; sft; trl; base_model:goldfish-models/eng_latn_100mb; base_model:finetune:goldfish-models/eng_latn_100mb; text-generation-infe…
2026-09-24T14:23:02Z,TimeDuet/TimeDuet-Qwen,TimeDuet,0,0,peft; safetensors; lora; audio; video; temporal-grounding; multimodal; en; dataset:TimeDuet/TimeDuet; base_model:Qwen/Qwen2.5-Omni-7B; base_model:adapter:Qwen/Qwen2.5-Omni-7B; region:us
2026-09-24T14:23:10Z,gdvstd/rab-cogito8b-Mmeta-v13-ep5,gdvstd,0,0,safetensors; llama; region:us
2026-09-24T14:24:24Z,iFaz/eqm-aloha_transfer_cube-seed3-24sep2026_2pm,iFaz,0,0,lerobot; safetensors; robotics; imitation-learning; eqm; mujoco; pytorch_model_hub_mixin; en; dataset:lerobot/aloha_sim_transfer_cube_human; license:apache-2.0; region:us
2026-09-24T14:24:27Z,cpral/poziomka_sft_2026_09_24,cpral,0,0,region:us
2026-09-24T14:25:00Z,RunningHubAI/rh-real-girl-unet,RunningHubAI,0,0,comfyui; unet; image-text-to-image; region:us
2026-09-24T14:25:32Z,sdadafdaf4546/MyAwesomeModel-TestRepo,sdadafdaf4546,0,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-24T14:25:58Z,Muhamedale/AI-Enterprise-Agent,Muhamedale,0,0,region:us
2026-09-24T14:26:34Z,roadius/peewee-mix-v1,roadius,0,0,safetensors; peewee; decision-model; calibrated; modernbert; non-autoregressive; en; dataset:LocalLLaMA/typed-decisions; dataset:ZefanCai/Open-Jev; base_model:convaiinnovations/laya; base_model:finet…
2026-09-24T14:26:49Z,francesca9805/ppt-wc-uniform-newlex-ita-before-100mb-packed-bfd_seed10,francesca9805,0,0,transformers; safetensors; gpt2; text-generation; generated_from_trainer; sft; trl; base_model:goldfish-models/eng_latn_100mb; base_model:finetune:goldfish-models/eng_latn_100mb; text-generation-infe…
2026-09-24T14:26:54Z,dendolgov666/glory,dendolgov666,0,0,region:us
2026-09-24T14:27:00Z,jjjlimaus/chrono4-2022-dense-cpt,jjjlimaus,0,0,safetensors; sn38-nanochrono; region:us
2026-09-24T14:27:05Z,yinpei-tri-pi/mira_simplememvla_60k,yinpei-tri-pi,0,0,safetensors; license:apache-2.0; region:us
2026-09-24T14:27:21Z,wckwan/WebShop-Qwen3-8B-Adaptive-Midpoint,wckwan,0,0,safetensors; region:us
2026-09-24T14:27:51Z,MANGSEOK123/qwen3-4b-tau2-telecom_1_setting4_n91-1ep,MANGSEOK123,0,0,safetensors; qwen3; tau2-bench; telecom; oel; experience-distillation; base_model:Qwen/Qwen3-4B-Instruct-2507; base_model:finetune:Qwen/Qwen3-4B-Instruct-2507; license:apache-2.0; region:us
2026-09-24T14:27:59Z,jaswanthamilvel/nsqf-qwen3-counselor,jaswanthamilvel,0,0,peft; safetensors; arxiv:1910.09700; base_model:Qwen/Qwen3-8B; base_model:adapter:Qwen/Qwen3-8B; region:us
2026-09-24T14:29:12Z,rrforever/my_awesome_model,rrforever,0,0,region:us
2026-09-24T14:29:45Z,roozbehn99/palm-qwen3b-sky-brev-uniform13-seed2,roozbehn99,0,0,rlhf; grpo; multi-objective; portfolio; palm; helpfulness; brevity; base_model:Qwen/Qwen2.5-3B-Instruct; base_model:finetune:Qwen/Qwen2.5-3B-Instruct; license:apache-2.0; region:us
2026-09-24T14:31:02Z,RunningHubAI/rh-scail2-lora,RunningHubAI,0,0,comfyui; lora; region:us
2026-09-24T14:31:14Z,Jomanne3/MyAwesomeModel-TestRepo,Jomanne3,0,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-24T14:31:17Z,francesca9805/ppt-wc-uniform-newlex-rus-before-100mb-packed-bfd_seed3407,francesca9805,0,0,transformers; safetensors; gpt2; text-generation; generated_from_trainer; sft; trl; base_model:goldfish-models/eng_latn_100mb; base_model:finetune:goldfish-models/eng_latn_100mb; text-generation-infe…
